expense_id,date,sub_category,amount,vendor,description,payment_method,receipt,approved_by
1,1/20/2018,building_management,1737.13,Realbuzz,iaculis justo in hac habitasse platea dictumst etiam,cash,true,Booth Cruess
2,2/16/2018,student_leadership,367.1,Twiyo,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,credit card,true,Jayme Posselwhite
3,1/7/2018,retreats,5590.15,Topdrive,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien,check,false,Aylmer Fitkin
4,6/12/2018,retreats,9154.12,Vimbo,in leo maecenas pulvinar lobortis est,check,false,Pablo Esposito
5,10/10/2018,outreach,4355.95,Jabbersphere,lorem id ligula suspendisse ornare consequat lectus in est risus,credit card,true,Christa Wightman
6,1/12/2018,retreats,6345.99,Yamia,,check,true,Yetta Toby
7,6/14/2018,faith_education,6222.97,Youbridge,donec dapibus duis at velit eu est,cash,false,Robin Lomaz
8,6/23/2018,social_justice,3984.16,Kimia,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus,check,true,Cary Crowdace
9,4/1/2018,building_management,990.52,Innojam,turpis elementum ligula vehicula consequat morbi a ipsum,credit card,false,Laure Minero
10,11/26/2018,crm_expenses,8471.76,Yakitri,lectus suspendisse potenti in eleifend quam a odio,cash,true,Evered Annatt
11,11/18/2018,liturgy_music,6883.8,Centidel,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in,cash,false,Rich Sitch
12,12/2/2018,other,6626.83,Realmix,ligula vehicula consequat morbi a,check,true,Anderea Antonietti
13,9/13/2018,automobiles,1631.68,Skinix,viverra diam vitae quam suspendisse potenti,credit card,false,Durant Trowsdall
14,12/24/2018,other,3934.75,Jazzy,cursus vestibulum proin eu mi nulla,cash,true,Juan Gaymar
15,10/11/2018,liturgy_music,8250.53,Mydo,,cash,true,Netty Morriarty
16,7/3/2018,retreats,8016.39,Jabbersphere,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas,cash,false,Nessy Calveley
17,11/3/2018,comm_life,7860.78,Youopia,,check,false,Giff Wreath
18,10/27/2018,building_management,2395.09,Dazzlesphere,convallis tortor risus dapibus augue vel accumsan tellus nisi,credit card,false,Ricki Lutton
19,1/5/2018,crm_expenses,4714.4,Photobean,lectus suspendisse potenti in eleifend quam a odio,check,true,Zita Carlesso
20,4/8/2018,building_management,9219.7,Avavee,volutpat quam pede lobortis ligula,check,false,Amii Brane
21,3/7/2018,social_justice,7261.22,Flipbug,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam,credit card,false,Miguel Rablan
22,10/31/2018,student_leadership,9072.9,Brainbox,magna bibendum imperdiet nullam orci pede venenatis,credit card,true,Etheline Burtonshaw
23,4/4/2018,office_administration,5273.14,Podcat,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed,cash,false,Tobiah Sirmon
24,11/10/2018,office_administration,6379.25,Omba,,check,true,Terese Simkovich
25,11/20/2018,social_justice,9136.48,Ozu,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,cash,false,Hercules Sainteau
26,8/1/2018,automobiles,9955.87,Cogidoo,,check,false,Paco Megany
27,9/28/2018,office_administration,36.36,Shuffletag,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa,cash,false,Karlee Hatherall
28,1/25/2018,faith_education,1010.5,Flashset,odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,cash,false,Pancho Atcherley
29,12/30/2018,building_management,7858.26,Realpoint,luctus tincidunt nulla mollis molestie lorem quisque,cash,true,Ram Fallows
30,11/26/2018,social_justice,8605.74,Plambee,lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis,cash,true,Purcell Youles
31,12/5/2018,outreach,8466.62,Jayo,eget orci vehicula condimentum curabitur in libero,credit card,false,Lesly Lea
