expense_id,date,sub_category,amount,vendor,description,payment_method,receipt,approved_by
1,1/11/2019,student_leadership,8976.13,Voonder,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in,check,true,Dasie Colquite
2,2/13/2019,student_leadership,3422.39,Leenti,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,check,false,Darb Dionis
3,3/30/2019,social_justice,7432.78,Jazzy,,credit card,false,Jeff Stonham
4,9/25/2019,student_leadership,315.34,Devify,,credit card,true,Duke Vassano
5,2/12/2019,other,9484.59,Oba,tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,cash,true,Lib Lebreton
6,4/28/2019,other,2956.1,Photobug,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in,check,true,Erin Labitt
7,3/2/2019,other,374.15,Voomm,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi,credit card,false,Cecilia Elies
8,6/7/2019,student_leadership,6313.32,Mydo,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse,check,true,Janos Thynn
9,1/28/2019,outreach,8074.22,Meemm,,credit card,false,Guinna Raffeorty
10,12/29/2019,office_administration,6656.11,Jazzy,,check,true,Brendin Gradly
11,12/18/2019,building_management,5692.37,Dablist,,credit card,false,Franni Ratnage
12,6/22/2019,retreats,8684.95,Devshare,,check,false,Gunar Jerg
13,5/4/2019,crm_expenses,3270.64,Abatz,sapien non mi integer ac neque duis bibendum,cash,false,Ara Drohan
14,12/21/2019,outreach,6970.89,Twinder,bibendum imperdiet nullam orci pede venenatis non,check,false,Alane Jago
15,4/6/2019,office_administration,8242.81,Skajo,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est,cash,false,Kippie Roullier
16,8/5/2019,other,4950.68,Jabberbean,ipsum praesent blandit lacinia erat vestibulum sed,check,true,Kelly Severn
17,7/17/2019,liturgy_music,2112.3,Skidoo,cras non velit nec nisi vulputate,cash,true,Hoebart Valero
18,11/26/2019,comm_life,2979.12,Realpoint,,cash,true,Claus Kynsey
19,12/28/2019,automobiles,8164.43,Oozz,,credit card,false,Lynne Sugg
20,1/30/2019,automobiles,5817.35,Yacero,,credit card,true,Jaynell Emma
21,9/11/2019,social_justice,8913.57,Zooveo,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac,cash,false,Carly Barnish
22,8/22/2019,liturgy_music,3814.35,Oyoba,sagittis nam congue risus semper porta volutpat quam pede,credit card,true,Zelda Crocetto
23,11/30/2019,liturgy_music,1537.8,Centimia,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam,cash,true,Orsa Eagland
24,6/22/2019,student_leadership,7421.55,Kimia,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla,credit card,true,Suzi Corkhill
25,12/9/2019,office_administration,1812.7,Yakidoo,duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in,cash,false,Lillis Aspinall
26,4/16/2019,student_leadership,3901.11,Riffpath,erat eros viverra eget congue eget semper,cash,true,Elladine Abadam
27,8/18/2019,comm_life,5991.71,Ntags,vulputate justo in blandit ultrices enim lorem ipsum,cash,true,Fernande Suthworth
28,5/25/2019,liturgy_music,7254.99,Photospace,primis in faucibus orci luctus et ultrices posuere,check,true,Liv Nottingham
29,12/16/2019,outreach,578.25,Oyoyo,ac tellus semper interdum mauris ullamcorper,credit card,true,Thorpe MacKeller
30,8/18/2019,retreats,2609.43,Plajo,etiam vel augue vestibulum rutrum rutrum neque aenean auctor,credit card,false,Vance Amori
31,12/11/2019,student_leadership,5184.44,Katz,libero quis orci nullam molestie,cash,false,Sidoney Lunk
32,6/10/2019,social_justice,531.45,Gabvine,maecenas pulvinar lobortis est phasellus sit amet erat,cash,true,Astrix Salmond
33,10/17/2019,student_leadership,8683.53,Rhynoodle,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse,credit card,false,Bayard Moorhouse
34,12/6/2019,faith_education,99.34,Skinder,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,credit card,false,Osmond Langston
35,5/17/2019,faith_education,5845.29,Blogtags,in faucibus orci luctus et ultrices,credit card,true,Gerianne Tilberry
36,7/6/2019,automobiles,938.49,Eimbee,massa tempor convallis nulla neque libero convallis eget,check,true,Myrvyn Cowup
37,3/28/2019,comm_life,208.46,Eimbee,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam,check,true,Hendrika Ciobutaro
38,10/21/2019,automobiles,8563.37,Podcat,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros,check,true,Elane Sheran
39,8/2/2019,student_leadership,9227.21,Mynte,nibh in hac habitasse platea,check,false,Evey McCorkell
40,11/16/2019,automobiles,5772.77,Skyble,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,check,true,Rasla Osbourne
41,6/15/2019,student_leadership,5086.72,Gabvine,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices,check,true,Hamlin Pigram
42,8/17/2019,office_administration,9655.69,Leexo,lobortis ligula sit amet eleifend pede libero quis orci,credit card,false,Alessandro Arrighini
43,4/16/2019,liturgy_music,2708.67,Tagpad,dui maecenas tristique est et tempus semper est quam pharetra magna ac,cash,false,Madonna Blowne
44,9/8/2019,faith_education,1338.87,Edgepulse,felis donec semper sapien a libero nam dui proin leo odio porttitor id,cash,false,Lauri Shipston
45,4/29/2019,student_leadership,8434.61,Zoombeat,ut nunc vestibulum ante ipsum primis in faucibus orci,cash,false,Otes Artin
46,6/27/2019,liturgy_music,8431.79,Wikizz,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi,check,true,Jackie Jamieson
47,5/5/2019,utilities,5206.95,Tagpad,habitasse platea dictumst maecenas ut,check,true,Kathy Townend
48,3/26/2019,office_administration,844.61,Twimm,pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis,check,false,Rodrick Halson
49,11/25/2019,office_administration,8998.29,Skilith,,check,true,Edgardo Twitchett
50,3/30/2019,crm_expenses,2011.07,Eire,pellentesque at nulla suspendisse potenti cras in,check,false,Ruthi Herity
51,7/19/2019,social_justice,6738.01,Dynazzy,,check,true,Mervin Roocroft
52,12/24/2019,comm_life,1843.03,Centimia,,check,true,Obadias Blackwood
53,10/31/2019,automobiles,9176.52,Gabtype,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu,credit card,false,Justinian Niemiec
