expense_id,date,sub_category,amount,vendor,description,payment_method,receipt,approved_by
1,2/2/2021,crm_expenses,6367.25,Pixope,at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae,cash,true,Virgilio Menel
2,2/21/2021,social_justice,6780.52,Realblab,vivamus in felis eu sapien cursus vestibulum proin eu mi,credit card,true,Arline Merrill
3,7/8/2021,outreach,8273.89,Dablist,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula,credit card,true,Val Falconer
4,4/3/2021,retreats,2745.06,Avaveo,,check,true,Eolanda Skylett
5,5/5/2021,faith_education,6259.72,Photobug,turpis donec posuere metus vitae ipsum aliquam,credit card,false,Garvin Izacenko
6,1/23/2021,social_justice,5681.62,Skidoo,lacinia nisi venenatis tristique fusce congue,check,true,Luella Borton
7,5/16/2021,other,1987.28,Ntag,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum,credit card,false,Sibyl O'Keevan
8,6/27/2021,outreach,6768.39,Zoonder,nulla ac enim in tempor,credit card,true,Winfred Wisdom
9,7/24/2021,comm_life,3723.24,Layo,sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum,cash,false,Leeann Fasson
10,12/22/2021,social_justice,6227.6,Eadel,,credit card,true,Evey Slimings
11,1/12/2021,comm_life,9382.11,Einti,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus,cash,false,Rivi Maypother
12,11/24/2021,comm_life,2475.64,Skyba,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,credit card,true,Port McVaugh
13,9/1/2021,building_management,1824.9,Livetube,justo in hac habitasse platea dictumst etiam faucibus,credit card,false,Sonny Iveans
14,3/6/2021,crm_expenses,5931.0,Yadel,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget,cash,true,Hillyer Meneur
15,12/16/2021,faith_education,4245.77,Zoombeat,nulla integer pede justo lacinia eget,credit card,false,Christie Shieldon
16,10/15/2021,student_leadership,1294.06,Skinder,,check,true,Gregorio Barlace
17,4/5/2021,comm_life,6404.4,Plajo,donec vitae nisi nam ultrices libero non mattis pulvinar nulla,cash,false,Lanae Leversuch
18,5/10/2021,building_management,2967.01,Fliptune,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem,check,false,Melloney Blackleech
19,9/14/2021,outreach,5800.97,Realpoint,in tempus sit amet sem fusce consequat nulla,credit card,false,Granger Billingsly
20,8/11/2021,crm_expenses,4292.86,Layo,ultrices enim lorem ipsum dolor sit amet consectetuer,credit card,false,Breena Antonnikov
21,1/14/2021,faith_education,6488.39,Zooveo,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,cash,true,Brooks Ternott
22,3/22/2021,comm_life,2349.27,Mycat,amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate,credit card,false,Olimpia Van der Brug
23,1/25/2021,student_leadership,4021.48,LiveZ,sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis,credit card,false,Mycah Iannini
24,8/3/2021,office_administration,1038.29,Topicblab,aliquam quis turpis eget elit sodales scelerisque mauris sit amet,cash,false,Neille Bradick
25,1/30/2021,automobiles,8834.68,Roombo,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum,check,true,Andrew Willan
26,1/26/2021,comm_life,7161.41,Blognation,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum,check,true,Jarret Ossenna
27,10/2/2021,faith_education,5022.36,Yozio,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante,credit card,true,Amabel Fairnie
28,7/23/2021,liturgy_music,8794.76,Photobug,sed vel enim sit amet nunc,cash,true,Gunner Maddock
29,10/10/2021,liturgy_music,844.0,Feedbug,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec,credit card,true,Vinny Balfe
30,8/27/2021,office_administration,8942.7,Flashpoint,nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet,cash,true,Rhiamon De Launde
31,3/17/2021,liturgy_music,4363.8,Linkbuzz,,cash,false,Greg Gilcriest
32,1/7/2021,other,9501.4,Quire,pede ullamcorper augue a suscipit nulla elit ac,check,false,Jacynth O'Feeney
